Idade,Gênero,Nível_Acadêmico,País,Média_Uso_Diário,Plataforma_Mais_Utilizada,Afeta_Desempenho_Acadêmico,Horas_Sono,Pontuação_Saúde_Mental,Nível_Vício
20,Feminino,Graduação,França,4.4,Instagram,Não,7.6,7,5
22,Masculino,Pós-Graduação,Canadá,5.2,TikTok,Sim,7.0,6,7
19,Feminino,Graduação,Espanha,5.0,Instagram,Sim,6.9,6,7
21,Masculino,Pós-Graduação,Dinamarca,3.8,Facebook,Não,8.0,8,4
20,Feminino,Graduação,Irlanda,4.7,TikTok,Sim,7.2,7,6
22,Masculino,Pós-Graduação,Índia,6.0,WhatsApp,Sim,6.3,5,8
19,Feminino,Graduação,Suíça,3.7,Instagram,Não,8.1,8,4
21,Masculino,Pós-Graduação,Turquia,5.3,Instagram,Sim,6.9,6,7
20,Feminino,Graduação,Estados Unidos,7.0,TikTok,Sim,5.3,5,9
22,Masculino,Pós-Graduação,México,5.8,WhatsApp,Sim,6.4,6,7
19,Feminino,Graduação,França,4.3,Instagram,Não,7.7,7,5
21,Masculino,Pós-Graduação,Canadá,5.1,Instagram,Sim,7.1,6,7
20,Feminino,Graduação,Espanha,4.9,TikTok,Sim,7.0,6,7
22,Masculino,Pós-Graduação,Dinamarca,3.7,Facebook,Não,8.1,8,4
19,Feminino,Graduação,Irlanda,4.6,Instagram,Sim,7.3,7,6
21,Masculino,Pós-Graduação,Índia,6.1,WhatsApp,Sim,6.2,5,8
20,Feminino,Graduação,Suíça,3.6,Instagram,Não,8.2,8,4
22,Masculino,Pós-Graduação,Turquia,5.2,TikTok,Sim,7.0,6,7
19,Feminino,Graduação,Estados Unidos,7.1,Instagram,Sim,5.2,5,9
21,Masculino,Pós-Graduação,México,5.9,WhatsApp,Sim,6.3,6,7
20,Feminino,Graduação,França,4.2,Instagram,Não,7.8,7,5
22,Masculino,Pós-Graduação,Canadá,5.0,TikTok,Sim,7.2,6,7
19,Feminino,Graduação,Espanha,4.8,Instagram,Sim,7.1,6,7
21,Masculino,Pós-Graduação,Dinamarca,3.6,Facebook,Não,8.2,8,4
20,Feminino,Graduação,Irlanda,4.5,TikTok,Sim,7.4,7,6
22,Masculino,Pós-Graduação,Índia,6.2,WhatsApp,Sim,6.1,5,8
19,Feminino,Graduação,Suíça,3.5,Instagram,Não,8.3,8,4
21,Masculino,Pós-Graduação,Turquia,5.1,Instagram,Sim,7.1,6,7
20,Feminino,Graduação,Estados Unidos,7.2,TikTok,Sim,5.1,5,9
22,Masculino,Pós-Graduação,México,6.0,WhatsApp,Sim,6.2,6,7
19,Feminino,Graduação,França,4.1,Instagram,Não,7.9,7,5
21,Masculino,Pós-Graduação,Canadá,4.9,Instagram,Sim,7.3,6,7
20,Feminino,Graduação,Espanha,4.7,TikTok,Sim,7.2,6,7
22,Masculino,Pós-Graduação,Dinamarca,3.5,Facebook,Não,8.3,8,4
19,Feminino,Graduação,Irlanda,4.4,Instagram,Sim,7.5,7,6
21,Masculino,Pós-Graduação,Índia,6.3,WhatsApp,Sim,6.0,5,8
20,Feminino,Graduação,Suíça,3.4,Instagram,Não,8.4,8,4
22,Masculino,Pós-Graduação,Turquia,5.0,TikTok,Sim,7.2,6,7
19,Feminino,Graduação,Estados Unidos,7.3,Instagram,Sim,5.0,5,9
21,Masculino,Pós-Graduação,México,6.1,WhatsApp,Sim,6.1,6,7
20,Feminino,Graduação,França,4.0,Instagram,Não,8.0,7,5
22,Masculino,Pós-Graduação,Canadá,4.8,TikTok,Sim,7.4,6,7
19,Feminino,Graduação,Espanha,4.6,Instagram,Sim,7.3,6,7
21,Masculino,Pós-Graduação,Dinamarca,3.4,Facebook,Não,8.4,8,4
20,Feminino,Graduação,Irlanda,4.3,TikTok,Sim,7.6,7,6
22,Masculino,Pós-Graduação,Índia,6.4,WhatsApp,Sim,5.9,5,8
19,Feminino,Graduação,Suíça,3.3,Instagram,Não,8.5,8,4
21,Masculino,Pós-Graduação,Turquia,4.9,Instagram,Sim,7.3,6,7
20,Feminino,Graduação,Estados Unidos,7.4,TikTok,Sim,4.9,5,9
22,Masculino,Pós-Graduação,México,6.2,WhatsApp,Sim,6.0,6,7
19,Feminino,Graduação,França,3.9,Instagram,Não,8.1,7,5
21,Masculino,Pós-Graduação,Canadá,4.7,Instagram,Sim,7.5,6,7
20,Feminino,Graduação,Espanha,4.5,TikTok,Sim,7.4,6,7
22,Masculino,Pós-Graduação,Dinamarca,3.3,Facebook,Não,8.5,8,4
19,Feminino,Graduação,Irlanda,4.2,Instagram,Sim,7.7,7,6
21,Masculino,Pós-Graduação,Índia,6.5,WhatsApp,Sim,5.8,5,8
20,Feminino,Graduação,Suíça,3.2,Instagram,Não,8.6,8,4
22,Masculino,Pós-Graduação,Turquia,4.8,TikTok,Sim,7.4,6,7
19,Feminino,Graduação,Estados Unidos,7.5,Instagram,Sim,4.8,5,9
21,Masculino,Pós-Graduação,México,6.3,WhatsApp,Sim,5.9,6,7
20,Feminino,Graduação,França,3.8,Instagram,Não,8.2,7,5
22,Masculino,Pós-Graduação,Canadá,4.6,TikTok,Sim,7.6,6,7
19,Feminino,Graduação,Espanha,4.4,Instagram,Sim,7.5,6,7
21,Masculino,Pós-Graduação,Dinamarca,3.2,Facebook,Não,8.6,8,4
20,Feminino,Graduação,Irlanda,4.1,TikTok,Sim,7.8,7,6
22,Masculino,Pós-Graduação,Índia,6.6,WhatsApp,Sim,5.7,5,8
19,Feminino,Graduação,Suíça,3.1,Instagram,Não,8.7,8,4
21,Masculino,Pós-Graduação,Turquia,4.7,Instagram,Sim,7.5,6,7
20,Feminino,Graduação,Estados Unidos,7.6,TikTok,Sim,4.7,5,9
22,Masculino,Pós-Graduação,México,6.4,WhatsApp,Sim,5.8,6,7
19,Feminino,Graduação,França,3.7,Instagram,Não,8.3,7,5
21,Masculino,Pós-Graduação,Canadá,4.5,Instagram,Sim,7.7,6,7
20,Feminino,Graduação,Espanha,4.3,TikTok,Sim,7.6,6,7
22,Masculino,Pós-Graduação,Dinamarca,3.1,Facebook,Não,8.7,8,4
19,Feminino,Graduação,Irlanda,4.0,Instagram,Sim,7.9,7,6
21,Masculino,Pós-Graduação,Índia,6.7,WhatsApp,Sim,5.6,5,8
20,Feminino,Graduação,Suíça,3.0,Instagram,Não,8.8,8,4
22,Masculino,Pós-Graduação,Turquia,4.6,TikTok,Sim,7.6,6,7
19,Feminino,Graduação,Estados Unidos,7.7,Instagram,Sim,4.6,5,9
21,Masculino,Pós-Graduação,México,6.5,WhatsApp,Sim,5.7,6,7
20,Feminino,Graduação,França,3.6,Instagram,Não,8.4,7,5
22,Masculino,Pós-Graduação,Canadá,4.4,TikTok,Sim,7.8,6,7
19,Feminino,Graduação,Espanha,4.2,Instagram,Sim,7.7,6,7
21,Masculino,Pós-Graduação,Dinamarca,3.0,Facebook,Não,8.8,8,4
20,Feminino,Graduação,Irlanda,3.9,TikTok,Sim,8.0,7,6
22,Masculino,Pós-Graduação,Índia,6.8,WhatsApp,Sim,5.5,5,8
19,Feminino,Graduação,Suíça,2.9,Instagram,Não,8.9,8,4
21,Masculino,Pós-Graduação,Turquia,4.5,Instagram,Sim,7.7,6,7
20,Feminino,Graduação,Estados Unidos,7.8,TikTok,Sim,4.5,5,9
22,Masculino,Pós-Graduação,México,6.6,WhatsApp,Sim,5.6,6,7
19,Feminino,Graduação,França,3.5,Instagram,Não,8.5,7,5
21,Masculino,Pós-Graduação,Canadá,4.3,Instagram,Sim,7.9,6,7
20,Feminino,Graduação,Espanha,4.1,TikTok,Sim,7.8,6,7
22,Masculino,Pós-Graduação,Dinamarca,2.9,Facebook,Não,8.9,8,4
19,Feminino,Graduação,Irlanda,3.8,Instagram,Sim,8.1,7,6
21,Masculino,Pós-Graduação,Índia,6.9,WhatsApp,Sim,5.4,5,8
20,Feminino,Graduação,Suíça,2.8,Instagram,Não,9.0,8,4
22,Masculino,Pós-Graduação,Turquia,4.4,TikTok,Sim,7.8,6,7
19,Feminino,Graduação,Estados Unidos,7.9,Instagram,Sim,4.4,5,9
21,Masculino,Pós-Graduação,México,6.7,WhatsApp,Sim,5.5,6,7
20,Feminino,Graduação,França,3.4,Instagram,Não,8.6,7,5
22,Masculino,Pós-Graduação,Canadá,4.2,TikTok,Sim,8.0,6,7
19,Feminino,Graduação,Espanha,4.0,Instagram,Sim,7.9,6,7
21,Masculino,Pós-Graduação,Dinamarca,2.8,Facebook,Não,9.0,8,4
20,Feminino,Graduação,Irlanda,3.7,TikTok,Sim,8.2,7,6
22,Masculino,Pós-Graduação,Índia,7.0,WhatsApp,Sim,5.3,5,8
19,Feminino,Graduação,Suíça,2.7,Instagram,Não,9.1,8,4
21,Masculino,Pós-Graduação,Turquia,4.3,Instagram,Sim,7.9,6,7
20,Feminino,Graduação,Estados Unidos,8.0,TikTok,Sim,4.3,5,9
22,Masculino,Pós-Graduação,México,6.8,WhatsApp,Sim,5.4,6,7
19,Feminino,Graduação,França,3.3,Instagram,Não,8.7,7,5
21,Masculino,Pós-Graduação,Canadá,4.1,Instagram,Sim,8.1,6,7
20,Feminino,Graduação,Espanha,3.9,TikTok,Sim,8.0,6,7
22,Masculino,Pós-Graduação,Dinamarca,2.7,Facebook,Não,9.1,8,4
19,Feminino,Graduação,Irlanda,3.6,Instagram,Sim,8.3,7,6
21,Masculino,Pós-Graduação,Índia,7.1,WhatsApp,Sim,5.2,5,8
20,Feminino,Graduação,Suíça,2.6,Instagram,Não,9.2,8,4
22,Masculino,Pós-Graduação,Turquia,4.2,TikTok,Sim,8.0,6,7
19,Feminino,Graduação,Estados Unidos,8.1,Instagram,Sim,4.2,5,9
21,Masculino,Pós-Graduação,México,6.9,WhatsApp,Sim,5.3,6,7
20,Feminino,Graduação,França,3.2,Instagram,Não,8.8,7,5
22,Masculino,Pós-Graduação,Canadá,4.0,TikTok,Sim,8.2,6,7
19,Feminino,Graduação,Espanha,3.8,Instagram,Sim,8.1,6,7
21,Masculino,Pós-Graduação,Dinamarca,2.6,Facebook,Não,9.2,8,4
20,Feminino,Graduação,Irlanda,3.5,TikTok,Sim,8.4,7,6
22,Masculino,Pós-Graduação,Índia,7.2,WhatsApp,Sim,5.1,5,8
19,Feminino,Graduação,Suíça,2.5,Instagram,Não,9.3,8,4
21,Masculino,Pós-Graduação,Turquia,4.1,Instagram,Sim,8.1,6,7
20,Feminino,Graduação,Estados Unidos,8.2,TikTok,Sim,4.1,5,9
22,Masculino,Pós-Graduação,México,7.0,WhatsApp,Sim,5.2,6,7
19,Feminino,Graduação,França,3.1,Instagram,Não,8.9,7,5
21,Masculino,Pós-Graduação,Canadá,3.9,Instagram,Sim,8.3,6,7
20,Feminino,Graduação,Espanha,3.7,TikTok,Sim,8.2,6,7
22,Masculino,Pós-Graduação,Dinamarca,2.5,Facebook,Não,9.3,8,4
19,Feminino,Graduação,Irlanda,3.4,Instagram,Sim,8.5,7,6
21,Masculino,Pós-Graduação,Índia,7.3,WhatsApp,Sim,5.0,5,8
20,Feminino,Graduação,Suíça,2.4,Instagram,Não,9.4,8,4
22,Masculino,Pós-Graduação,Turquia,4.0,TikTok,Sim,8.2,6,7
19,Feminino,Graduação,Estados Unidos,8.3,Instagram,Sim,4.0,5,9
21,Masculino,Pós-Graduação,México,7.1,WhatsApp,Sim,5.1,6,7
20,Feminino,Graduação,França,3.0,Instagram,Não,9.0,7,5
22,Masculino,Pós-Graduação,Canadá,3.8,TikTok,Sim,8.4,6,7
19,Feminino,Graduação,Espanha,3.6,Instagram,Sim,8.3,6,7
21,Masculino,Pós-Graduação,Dinamarca,2.4,Facebook,Não,9.4,8,4
20,Feminino,Graduação,Irlanda,3.3,TikTok,Sim,8.6,7,6
22,Masculino,Pós-Graduação,Índia,7.4,WhatsApp,Sim,4.9,5,8
19,Feminino,Graduação,Suíça,2.3,Instagram,Não,9.5,8,4
21,Masculino,Pós-Graduação,Turquia,3.9,Instagram,Sim,8.3,6,7
20,Feminino,Graduação,Estados Unidos,8.4,TikTok,Sim,3.9,5,9
22,Masculino,Pós-Graduação,México,7.2,WhatsApp,Sim,5.0,6,7
19,Feminino,Graduação,França,2.9,Instagram,Não,9.1,7,5
21,Masculino,Pós-Graduação,Canadá,3.7,Instagram,Sim,8.5,6,7
20,Feminino,Graduação,Espanha,3.5,TikTok,Sim,8.4,6,7
22,Masculino,Pós-Graduação,Dinamarca,2.3,Facebook,Não,9.5,8,4
19,Feminino,Graduação,Irlanda,3.2,Instagram,Sim,8.7,7,6
21,Masculino,Pós-Graduação,Índia,7.5,WhatsApp,Sim,4.8,5,8
20,Feminino,Graduação,Suíça,2.2,Instagram,Não,9.6,8,4
22,Masculino,Pós-Graduação,Turquia,3.8,TikTok,Sim,8.4,6,7
19,Feminino,Graduação,Estados Unidos,8.5,Instagram,Sim,3.8,5,9
21,Masculino,Pós-Graduação,México,7.3,WhatsApp,Sim,4.9,6,7
20,Feminino,Graduação,França,2.8,Instagram,Não,9.2,7,5
22,Masculino,Pós-Graduação,Canadá,3.6,TikTok,Sim,8.6,6,7
19,Feminino,Graduação,Brasil,6.2,WhatsApp,Sim,6.3,6,7
21,Masculino,Pós-Graduação,China,4.5,WeChat,Não,7.8,7,5
20,Feminino,Graduação,Países Baixos,3.8,Instagram,Não,8.2,8,4
22,Masculino,Pós-Graduação,Nova Zelândia,4.7,Instagram,Sim,7.5,7,6
19,Feminino,Graduação,Singapura,5.1,TikTok,Sim,7.0,6,7
21,Masculino,Pós-Graduação,Malásia,5.5,WhatsApp,Sim,6.8,6,7
20,Feminino,Graduação,Emirados Árabes Unidos,6.5,Instagram,Sim,6.5,5,8
22,Masculino,Pós-Graduação,Polônia,4.2,Facebook,Não,7.9,7,5
19,Feminino,Graduação,Índia,6.8,WhatsApp,Sim,6.0,5,8
21,Masculino,Pós-Graduação,Canadá,4.8,Instagram,Sim,7.4,7,6
20,Feminino,Graduação,Brasil,6.1,Instagram,Sim,6.4,6,7
22,Masculino,Pós-Graduação,China,4.4,WeChat,Não,7.9,7,5
19,Feminino,Graduação,Países Baixos,3.7,TikTok,Não,8.3,8,4
21,Masculino,Pós-Graduação,Nova Zelândia,4.6,Instagram,Sim,7.6,7,6
20,Feminino,Graduação,Singapura,5.2,TikTok,Sim,6.9,6,7
22,Masculino,Pós-Graduação,Malásia,5.6,WhatsApp,Sim,6.7,6,7
19,Feminino,Graduação,Emirados Árabes Unidos,6.6,Instagram,Sim,6.4,5,8
21,Masculino,Pós-Graduação,Polônia,4.1,Facebook,Não,8.0,7,5
20,Feminino,Graduação,Índia,6.9,WhatsApp,Sim,5.9,5,8
22,Masculino,Pós-Graduação,Canadá,4.7,TikTok,Sim,7.5,7,6
19,Feminino,Graduação,Brasil,6.0,WhatsApp,Sim,6.5,6,7
21,Masculino,Pós-Graduação,China,4.3,WeChat,Não,8.0,7,5
20,Feminino,Graduação,Países Baixos,3.6,Instagram,Não,8.4,8,4
22,Masculino,Pós-Graduação,Nova Zelândia,4.5,Facebook,Sim,7.7,7,6
19,Feminino,Graduação,Singapura,5.3,TikTok,Sim,6.8,6,7
21,Masculino,Pós-Graduação,Malásia,5.7,WhatsApp,Sim,6.6,6,7
20,Feminino,Graduação,Emirados Árabes Unidos,6.7,Instagram,Sim,6.3,5,8
22,Masculino,Pós-Graduação,Polônia,4.0,Facebook,Não,8.1,7,5
19,Feminino,Graduação,Índia,7.0,WhatsApp,Sim,5.8,5,8
21,Masculino,Pós-Graduação,Canadá,4.6,Instagram,Sim,7.6,7,6
20,Feminino,Graduação,Brasil,5.9,TikTok,Sim,6.6,6,7
22,Masculino,Pós-Graduação,China,4.2,WeChat,Não,8.1,7,5
19,Feminino,Graduação,Países Baixos,3.5,Instagram,Não,8.5,8,4
21,Masculino,Pós-Graduação,Nova Zelândia,4.4,Facebook,Sim,7.8,7,6
20,Feminino,Graduação,Singapura,5.4,TikTok,Sim,6.7,6,7
22,Masculino,Pós-Graduação,Malásia,5.8,WhatsApp,Sim,6.5,6,7
19,Feminino,Graduação,Emirados Árabes Unidos,6.8,Instagram,Sim,6.2,5,8
21,Masculino,Pós-Graduação,Polônia,3.9,Facebook,Não,8.2,7,5
20,Feminino,Graduação,Índia,7.1,WhatsApp,Sim,5.7,5,8
22,Masculino,Pós-Graduação,Canadá,4.5,TikTok,Sim,7.7,7,6
19,Feminino,Graduação,Brasil,5.8,WhatsApp,Sim,6.7,6,7
21,Masculino,Pós-Graduação,China,4.1,WeChat,Não,8.2,7,5
20,Feminino,Graduação,Países Baixos,3.4,Instagram,Não,8.6,8,4
22,Masculino,Pós-Graduação,Nova Zelândia,4.3,Instagram,Sim,7.9,7,6
19,Feminino,Graduação,Singapura,5.5,TikTok,Sim,6.6,6,7
21,Masculino,Pós-Graduação,Malásia,5.9,WhatsApp,Sim,6.4,6,7
20,Feminino,Graduação,Emirados Árabes Unidos,6.9,Instagram,Sim,6.1,5,8
22,Masculino,Pós-Graduação,Polônia,3.8,Facebook,Não,8.3,7,5
19,Feminino,Graduação,Índia,7.2,WhatsApp,Sim,5.6,5,8
21,Masculino,Pós-Graduação,Canadá,4.4,Instagram,Sim,7.8,7,6
20,Feminino,Graduação,Brasil,5.7,TikTok,Sim,6.8,6,7
22,Masculino,Pós-Graduação,China,4.0,WeChat,Não,8.3,7,5
19,Feminino,Graduação,Países Baixos,3.3,Instagram,Não,8.7,8,4
21,Masculino,Pós-Graduação,Nova Zelândia,4.2,Facebook,Sim,8.0,7,6
20,Feminino,Graduação,Singapura,5.6,TikTok,Sim,6.5,6,7
22,Masculino,Pós-Graduação,Malásia,6.0,WhatsApp,Sim,6.3,6,7
19,Feminino,Graduação,Emirados Árabes Unidos,7.0,Instagram,Sim,6.0,5,8
21,Masculino,Pós-Graduação,Polônia,3.7,Facebook,Não,8.4,7,5
20,Feminino,Graduação,Índia,7.3,WhatsApp,Sim,5.5,5,8
22,Masculino,Pós-Graduação,Canadá,4.3,TikTok,Sim,7.9,7,6
19,Feminino,Graduação,Brasil,5.6,WhatsApp,Sim,6.9,6,7
21,Masculino,Pós-Graduação,China,3.9,WeChat,Não,8.4,7,5
20,Feminino,Graduação,Países Baixos,3.2,Instagram,Não,8.8,8,4
22,Masculino,Pós-Graduação,Nova Zelândia,4.1,Instagram,Sim,8.1,7,6
19,Feminino,Graduação,Singapura,5.7,TikTok,Sim,6.4,6,7
21,Masculino,Pós-Graduação,Malásia,6.1,WhatsApp,Sim,6.2,6,7
20,Feminino,Graduação,Emirados Árabes Unidos,7.1,Instagram,Sim,5.9,5,8
22,Masculino,Pós-Graduação,Polônia,3.6,Facebook,Não,8.5,7,5
19,Feminino,Graduação,Índia,7.4,WhatsApp,Sim,5.4,5,8
21,Masculino,Pós-Graduação,Canadá,4.2,Instagram,Sim,8.0,7,6
20,Feminino,Graduação,Espanha,6.1,Instagram,Sim,7.2,5,7
23,Masculino,Pós-Graduação,Dinamarca,3.8,Twitter,Não,7.8,8,4
19,Feminino,Graduação,Irlanda,5.5,TikTok,Sim,6.8,6,8
22,Masculino,Pós-Graduação,Índia,7.2,Facebook,Sim,5.9,4,9
21,Feminino,Graduação,Suíça,4.2,Instagram,Não,7.5,7,5
24,Masculino,Pós-Graduação,Turquia,6.8,TikTok,Sim,6.2,5,8
20,Feminino,Graduação,Estados Unidos,5.9,Instagram,Sim,6.7,6,7
22,Masculino,Pós-Graduação,México,6.5,Facebook,Sim,6.1,5,8
19,Feminino,Graduação,França,4.7,Twitter,Não,7.4,7,5
23,Masculino,Pós-Graduação,Canadá,5.2,Instagram,Sim,7.0,6,6
21,Feminino,Graduação,Reino Unido,6.3,TikTok,Sim,6.4,5,8
24,Masculino,Pós-Graduação,Itália,4.9,Facebook,Não,7.3,7,5
20,Feminino,Graduação,Rússia,6.7,Instagram,Sim,6.0,5,8
22,Masculino,Pós-Graduação,China,5.8,WeChat,Sim,6.5,6,7
19,Feminino,Graduação,Japão,4.5,Twitter,Não,7.6,8,4
23,Masculino,Pós-Graduação,Polônia,6.4,Facebook,Sim,6.3,5,8
21,Feminino,Graduação,Finlândia,4.1,Instagram,Não,7.7,7,5
24,Masculino,Pós-Graduação,Espanha,6.6,TikTok,Sim,6.2,5,8
20,Feminino,Graduação,Dinamarca,4.4,Instagram,Não,7.4,7,5
22,Masculino,Pós-Graduação,Irlanda,5.7,Twitter,Sim,6.8,6,7
19,Feminino,Graduação,Índia,7.0,Instagram,Sim,5.8,4,9
23,Masculino,Pós-Graduação,Suíça,4.3,Facebook,Não,7.5,7,5
21,Feminino,Graduação,Turquia,6.9,TikTok,Sim,6.1,5,8
24,Masculino,Pós-Graduação,Estados Unidos,5.6,Instagram,Sim,6.9,6,7
20,Feminino,Graduação,México,6.2,Facebook,Sim,6.3,5,8
21,Masculino,Graduação,França,5.8,Instagram,Sim,6.7,6,7
23,Feminino,Pós-Graduação,Canadá,4.9,TikTok,Não,7.3,7,5
20,Masculino,Graduação,Reino Unido,6.4,Facebook,Sim,6.2,5,8
22,Feminino,Pós-Graduação,Itália,5.1,Twitter,Não,7.1,7,5
19,Masculino,Graduação,Rússia,6.7,Instagram,Sim,6.0,4,8
24,Feminino,Pós-Graduação,China,5.5,WeChat,Sim,6.8,6,7
21,Masculino,Graduação,Japão,4.3,Twitter,Não,7.6,8,4
23,Feminino,Pós-Graduação,Polônia,6.2,Instagram,Sim,6.4,5,8
20,Masculino,Graduação,Finlândia,4.5,Facebook,Não,7.4,7,5
22,Feminino,Pós-Graduação,Espanha,6.3,TikTok,Sim,6.3,5,8
19,Masculino,Graduação,Dinamarca,4.7,Instagram,Não,7.2,7,5
24,Feminino,Pós-Graduação,Irlanda,5.9,Twitter,Sim,6.6,6,7
21,Masculino,Graduação,Índia,7.1,Facebook,Sim,5.7,4,9
23,Feminino,Pós-Graduação,Suíça,4.4,Instagram,Não,7.4,7,5
20,Masculino,Graduação,Turquia,6.6,TikTok,Sim,6.2,5,8
22,Feminino,Pós-Graduação,Estados Unidos,5.4,Instagram,Sim,6.9,6,7
19,Masculino,Graduação,México,6.5,Facebook,Sim,6.1,5,8
24,Feminino,Pós-Graduação,França,4.8,Twitter,Não,7.3,7,5
21,Masculino,Graduação,Canadá,5.7,Instagram,Sim,6.7,6,7
23,Feminino,Pós-Graduação,Reino Unido,6.1,TikTok,Sim,6.4,5,8
20,Masculino,Graduação,Itália,4.6,Facebook,Não,7.2,7,5
22,Feminino,Pós-Graduação,Rússia,6.8,Instagram,Sim,5.9,4,9
19,Masculino,Graduação,China,5.6,WeChat,Sim,6.8,6,7
24,Feminino,Pós-Graduação,Japão,4.2,Twitter,Não,7.5,8,4
21,Masculino,Graduação,Polônia,6.3,TikTok,Sim,6.3,5,8
23,Feminino,Pós-Graduação,Finlândia,4.4,Instagram,Não,7.4,7,5
20,Masculino,Graduação,Espanha,6.5,Facebook,Sim,6.2,5,8
22,Feminino,Pós-Graduação,Dinamarca,4.6,Twitter,Não,7.3,7,5
19,Masculino,Graduação,Irlanda,5.8,Instagram,Sim,6.6,6,7
24,Feminino,Pós-Graduação,Índia,7.0,TikTok,Sim,5.8,4,9
21,Masculino,Graduação,Suíça,4.5,Facebook,Não,7.3,7,5
23,Feminino,Pós-Graduação,Turquia,6.7,Instagram,Sim,6.1,5,8
20,Masculino,Graduação,Estados Unidos,5.5,Twitter,Sim,6.8,6,7
22,Feminino,Pós-Graduação,México,6.4,Facebook,Sim,6.2,5,8
19,Masculino,Graduação,França,4.7,Instagram,Não,7.2,7,5
24,Feminino,Pós-Graduação,Canadá,5.6,TikTok,Sim,6.7,6,7
21,Masculino,Graduação,Reino Unido,6.2,Facebook,Sim,6.3,5,8
23,Feminino,Pós-Graduação,Itália,4.8,Twitter,Não,7.1,7,5
20,Masculino,Graduação,Rússia,6.9,Instagram,Sim,5.9,4,9
22,Feminino,Pós-Graduação,China,5.7,WeChat,Sim,6.7,6,7
19,Masculino,Graduação,Japão,4.4,Twitter,Não,7.4,8,4
24,Feminino,Pós-Graduação,Polônia,6.1,TikTok,Sim,6.4,5,8
21,Masculino,Graduação,Finlândia,4.3,Instagram,Não,7.5,7,5
23,Feminino,Pós-Graduação,Espanha,6.4,Facebook,Sim,6.2,5,8
20,Masculino,Graduação,Dinamarca,4.5,Twitter,Não,7.3,7,5
22,Feminino,Pós-Graduação,Irlanda,5.9,Instagram,Sim,6.5,6,7
19,Masculino,Graduação,Índia,7.2,TikTok,Sim,5.7,4,9
24,Feminino,Pós-Graduação,Suíça,4.6,Facebook,Não,7.2,7,5
21,Masculino,Graduação,Turquia,6.8,Instagram,Sim,6.0,5,8
23,Feminino,Pós-Graduação,Estados Unidos,5.3,Twitter,Sim,6.8,6,7
22,Masculino,Pós-Graduação,México,6.3,Facebook,Sim,6.2,5,8
20,Feminino,Graduação,França,4.8,Instagram,Não,7.1,7,5
23,Masculino,Pós-Graduação,Canadá,5.7,TikTok,Sim,6.6,6,7
21,Feminino,Graduação,Reino Unido,6.2,Twitter,Sim,6.3,5,8
24,Masculino,Pós-Graduação,Itália,4.7,Facebook,Não,7.2,7,5
19,Feminino,Graduação,Rússia,6.8,Instagram,Sim,5.9,4,9
22,Masculino,Pós-Graduação,China,5.6,WeChat,Sim,6.7,6,7
20,Feminino,Graduação,Japão,4.3,Twitter,Não,7.5,8,4
23,Masculino,Pós-Graduação,Polônia,6.2,TikTok,Sim,6.3,5,8
21,Feminino,Graduação,Finlândia,4.4,Instagram,Não,7.4,7,5
24,Masculino,Pós-Graduação,Espanha,6.5,Facebook,Sim,6.1,5,8
19,Feminino,Graduação,Dinamarca,4.6,Twitter,Não,7.3,7,5
22,Masculino,Pós-Graduação,Irlanda,5.8,Instagram,Sim,6.6,6,7
20,Feminino,Graduação,Índia,7.1,TikTok,Sim,5.8,4,9
23,Masculino,Pós-Graduação,Suíça,4.5,Facebook,Não,7.3,7,5
21,Feminino,Graduação,Turquia,6.7,Instagram,Sim,6.0,5,8
24,Masculino,Pós-Graduação,Estados Unidos,5.4,Twitter,Sim,6.8,6,7
19,Feminino,Graduação,México,6.4,TikTok,Sim,6.2,5,8
22,Masculino,Pós-Graduação,França,4.7,Facebook,Não,7.2,7,5
20,Feminino,Graduação,Canadá,5.6,Instagram,Sim,6.7,6,7
23,Masculino,Pós-Graduação,Reino Unido,6.3,Twitter,Sim,6.2,5,8
21,Feminino,Graduação,Itália,4.8,TikTok,Não,7.1,7,5
24,Masculino,Pós-Graduação,Rússia,6.9,Instagram,Sim,5.9,4,9
19,Feminino,Graduação,China,5.7,WeChat,Sim,6.7,6,7
22,Masculino,Pós-Graduação,Japão,4.4,Twitter,Não,7.4,8,4
20,Feminino,Graduação,Polônia,6.1,Facebook,Sim,6.4,5,8
23,Masculino,Pós-Graduação,Finlândia,4.3,Instagram,Não,7.5,7,5
21,Feminino,Graduação,Espanha,6.4,TikTok,Sim,6.2,5,8
24,Masculino,Pós-Graduação,Dinamarca,4.5,Twitter,Não,7.3,7,5
19,Feminino,Graduação,Irlanda,5.9,Instagram,Sim,6.5,6,7
22,Masculino,Pós-Graduação,Índia,7.2,Facebook,Sim,5.7,4,9
20,Feminino,Graduação,Suíça,4.6,TikTok,Não,7.2,7,5
23,Masculino,Pós-Graduação,Turquia,6.8,Instagram,Sim,6.0,5,8
21,Feminino,Graduação,Estados Unidos,5.3,Twitter,Sim,6.8,6,7
24,Masculino,Pós-Graduação,México,6.2,Facebook,Sim,6.3,5,8
19,Feminino,Graduação,França,4.7,Instagram,Não,7.2,7,5
22,Masculino,Pós-Graduação,Canadá,5.8,TikTok,Sim,6.6,6,7
20,Feminino,Graduação,Reino Unido,6.1,Twitter,Sim,6.4,5,8
23,Masculino,Pós-Graduação,Itália,4.8,Facebook,Não,7.1,7,5
21,Feminino,Graduação,Rússia,6.7,Instagram,Sim,6.0,4,9
